scenario,total_cost,oracle_cost,regret,regret_pct,carbon_emissions,infeasible_rate,forecast_error_load,forecast_error_wind,forecast_error_solar,run,description
Full System,428213612.0,5712000.0,422501612.0,7396.736904761905,33600.0,1.0,850.7011669109895,388.7525413540191,624.2181495716454,0,All features enabled
No Uncertainty,428213612.0,5712000.0,422501612.0,7396.736904761905,33600.0,1.0,850.7011669109895,388.7525413540191,624.2181495716454,0,Point forecasts only
No Carbon,377835540.0,5040000.0,372795540.0,7396.736904761905,33600.0,1.0,850.7011669109895,388.7525413540191,624.2181495716454,0,Cost-only optimization
Forecast Only,,,,,,,850.7011669109895,388.7525413540191,624.2181495716454,0,No dispatch optimization
Full System,428213612.0,5712000.0,422501612.0,7396.736904761905,33600.0,1.0,902.4916878485873,393.60920218079013,578.9534025877836,1,All features enabled
No Uncertainty,428213612.0,5712000.0,422501612.0,7396.736904761905,33600.0,1.0,902.4916878485873,393.60920218079013,578.9534025877836,1,Point forecasts only
No Carbon,377835540.0,5040000.0,372795540.0,7396.736904761905,33600.0,1.0,902.4916878485873,393.60920218079013,578.9534025877836,1,Cost-only optimization
Forecast Only,,,,,,,902.4916878485873,393.60920218079013,578.9534025877836,1,No dispatch optimization
Full System,428213612.0,5712000.0,422501612.0,7396.736904761905,33600.0,1.0,935.9425049855538,392.958817191246,610.5530443150976,2,All features enabled
No Uncertainty,428213612.0,5712000.0,422501612.0,7396.736904761905,33600.0,1.0,935.9425049855538,392.958817191246,610.5530443150976,2,Point forecasts only
No Carbon,377835540.0,5040000.0,372795540.0,7396.736904761905,33600.0,1.0,935.9425049855538,392.958817191246,610.5530443150976,2,Cost-only optimization
Forecast Only,,,,,,,935.9425049855538,392.958817191246,610.5530443150976,2,No dispatch optimization
Full System,428213612.0,5712000.0,422501612.0,7396.736904761905,33600.0,1.0,878.5954480320688,369.58617543609677,675.7706231335486,3,All features enabled
No Uncertainty,428213612.0,5712000.0,422501612.0,7396.736904761905,33600.0,1.0,878.5954480320688,369.58617543609677,675.7706231335486,3,Point forecasts only
No Carbon,377835540.0,5040000.0,372795540.0,7396.736904761905,33600.0,1.0,878.5954480320688,369.58617543609677,675.7706231335486,3,Cost-only optimization
Forecast Only,,,,,,,878.5954480320688,369.58617543609677,675.7706231335486,3,No dispatch optimization
Full System,428213612.0,5712000.0,422501612.0,7396.736904761905,33600.0,1.0,881.7245019540487,359.4530009391476,645.2125269429907,4,All features enabled
No Uncertainty,428213612.0,5712000.0,422501612.0,7396.736904761905,33600.0,1.0,881.7245019540487,359.4530009391476,645.2125269429907,4,Point forecasts only
No Carbon,377835540.0,5040000.0,372795540.0,7396.736904761905,33600.0,1.0,881.7245019540487,359.4530009391476,645.2125269429907,4,Cost-only optimization
Forecast Only,,,,,,,881.7245019540487,359.4530009391476,645.2125269429907,4,No dispatch optimization
