trace_id,controller,fault_family,step_index,observed_margin,true_margin,margin_gap,reliability_w,widening_factor,intervened,fallback_used,certificate_valid
deep:dropout:55:dc3s_wrapped:95,dc3s_wrapped,dropout,95,-1.1102230246251563e-16,0.0347456622177162,-0.034745662217716314,0.9141789674758912,1.0429105162620544,False,False,True
deep:dropout:55:dc3s_wrapped:94,dc3s_wrapped,dropout,94,-2.8421709430404014e-14,0.0347456622177162,-0.034745662217744624,0.9141789674758912,1.0451307207087115,False,False,True
deep:stale_sensor:55:dc3s_wrapped:93,dc3s_wrapped,stale_sensor,93,0.5386330098943404,0.0668833761600922,0.47174963373424816,0.9141789674758912,1.0429105162620544,False,False,True
deep:stale_sensor:55:dc3s_wrapped:94,dc3s_wrapped,stale_sensor,94,0.0,0.0668833761600922,-0.0668833761600922,0.9141789674758912,1.0443661812376694,False,False,True
deep:stale_sensor:55:dc3s_wrapped:95,dc3s_wrapped,stale_sensor,95,0.0,0.0668833761600922,-0.0668833761600922,0.9141789674758912,1.0429105162620544,False,False,True
deep:nominal:55:dc3s_wrapped:95,dc3s_wrapped,nominal,95,-1.1102230246251563e-16,0.1046683187700239,-0.10466831877002401,0.9141789674758912,1.0429105162620544,False,False,True
deep:nominal:55:dc3s_wrapped:94,dc3s_wrapped,nominal,94,-2.8421709430404014e-14,0.1046683187700239,-0.10466831877005232,0.9141789674758912,1.0451307207087115,False,False,True
deep:dropout:55:dc3s_wrapped:92,dc3s_wrapped,dropout,92,210.6445419294634,210.3228964908975,0.3216454385658949,0.9141789674758912,1.0441194074920306,False,False,True
deep:dropout:55:dc3s_wrapped:93,dc3s_wrapped,dropout,93,-2.8421709430404014e-14,210.3228964908975,-210.32289649089753,0.9141789674758912,1.0430176325101754,False,False,True
deep:nominal:55:dc3s_wrapped:92,dc3s_wrapped,nominal,92,210.52631578947364,210.43824231752205,0.08807347195158854,0.9141789674758912,1.0441194074920306,False,False,True
deep:nominal:55:dc3s_wrapped:93,dc3s_wrapped,nominal,93,-2.8421709430404014e-14,210.43824231752205,-210.43824231752208,0.9141789674758912,1.0430176325101754,False,False,True
deep:stale_sensor:55:dc3s_wrapped:92,dc3s_wrapped,stale_sensor,92,210.5584535034161,210.5931991656338,-0.03474566221768782,0.9141789674758912,1.0429105162620544,False,False,True
deep:nominal:55:dc3s_wrapped:91,dc3s_wrapped,nominal,91,420.7087355183799,420.7309861403813,-0.022250622001365628,0.9141789674758912,1.0443990339236473,False,False,True
deep:dropout:55:dc3s_wrapped:91,dc3s_wrapped,dropout,91,631.8715287329956,420.8492122803712,211.02231645262435,0.9141789674758912,1.0443990339236473,False,False,True
deep:stale_sensor:55:dc3s_wrapped:91,dc3s_wrapped,stale_sensor,91,421.2733827109973,421.1195149551075,0.15386775588979162,0.9141789674758912,1.0429105162620544,False,False,True
deep:nominal:55:dc3s_wrapped:90,dc3s_wrapped,nominal,90,631.4123980219629,631.257301929855,0.15509609210789677,0.9141789674758912,1.0463222332778237,False,False,True
deep:dropout:55:dc3s_wrapped:90,dc3s_wrapped,dropout,90,631.8715287329956,631.3755280698449,0.49600066315065305,0.9141789674758912,1.0491584624580137,False,False,True
deep:stale_sensor:55:dc3s_wrapped:90,dc3s_wrapped,stale_sensor,90,631.967476183147,631.6458307445812,0.32164543856583805,0.9141789674758912,1.0429105162620544,False,False,True
deep:nominal:55:dc3s_wrapped:89,dc3s_wrapped,nominal,89,842.2553673530629,841.7836177193287,0.4717496337341345,0.9141789674758912,1.0458469274835407,False,False,True
deep:dropout:55:dc3s_wrapped:89,dc3s_wrapped,dropout,89,842.4268151047461,841.9018438593187,0.5249712454274231,0.9141789674758912,1.0429105162620544,False,False,True
