initial_soc_pct,initial_soc_mwh,sigma_d,tau_t,tube_lower_mwh,tube_upper_mwh
0.2,26.0,0.5,12,79.2679,86.7321
0.2,26.0,1.0,12,77.5359,88.4641
0.2,26.0,2.0,11,69.6168,86.8832
0.2,26.0,3.0,10,62.0132,84.9868
0.4,42.0,0.5,9,81.25,88.25
0.4,42.0,1.0,9,79.75,89.75
0.4,42.0,2.0,8,72.3431,87.6569
0.4,42.0,3.0,7,65.3127,85.1873
0.5,50.0,0.5,7,79.9271,86.5729
0.5,50.0,1.0,7,78.6042,87.8958
0.5,50.0,2.0,6,71.601,85.399
0.5,50.0,3.0,6,69.1515,87.8485
0.6,58.0,0.5,6,83.2753,89.7247
0.6,58.0,1.0,5,77.5139,85.9861
0.6,58.0,2.0,5,75.2779,88.2221
0.6,58.0,3.0,4,69.0,85.0
0.8,74.0,0.5,2,80.7929,86.2071
0.8,74.0,1.0,2,80.0858,86.9142
0.8,74.0,2.0,2,78.6716,88.3284
0.8,74.0,3.0,2,77.2574,89.7426
