policy,blackout_duration,gdq,useful_work_mwh,violation_rate,severity_mwh,violations_mean,retained_cost_frac,descent_stability
blind_persistence,4,1.0,4.0,0.0,0.0,0.0,1.0,1.0
blind_persistence,8,1.0,8.0,0.0,0.0,0.0,1.0,1.0
blind_persistence,12,1.0,12.0,0.0,0.0,0.0,1.0,1.0
blind_persistence,24,1.0,24.0,0.0,0.0,0.0,1.0,1.0
blind_persistence,48,0.933333,48.0,0.066667,102.353716,3.2,1.0,0.2
immediate_shutdown,4,1.0,0.0,0.0,0.0,0.0,0.0,1.0
immediate_shutdown,8,1.0,0.0,0.0,0.0,0.0,0.0,1.0
immediate_shutdown,12,1.0,0.0,0.0,0.0,0.0,0.0,1.0
immediate_shutdown,24,1.0,0.0,0.0,0.0,0.0,0.0,1.0
immediate_shutdown,48,1.0,0.0,0.0,0.0,0.0,0.0,1.0
simple_ramp_down,4,1.0,1.25,0.0,0.0,0.0,0.3125,1.0
simple_ramp_down,8,1.0,2.25,0.0,0.0,0.0,0.28125,1.0
simple_ramp_down,12,1.0,3.25,0.0,0.0,0.0,0.270833,1.0
simple_ramp_down,24,1.0,6.25,0.0,0.0,0.0,0.260417,1.0
simple_ramp_down,48,1.0,12.25,0.0,0.0,0.0,0.255208,1.0
optimized_graceful,4,1.0,2.5,0.0,0.0,0.0,0.625,1.0
optimized_graceful,8,1.0,4.5,0.0,0.0,0.0,0.5625,1.0
optimized_graceful,12,1.0,6.5,0.0,0.0,0.0,0.541667,1.0
optimized_graceful,24,1.0,12.5,0.0,0.0,0.0,0.520833,1.0
optimized_graceful,48,1.0,24.5,0.0,0.0,0.0,0.510417,1.0
