w,h_eff_k2.0
0.0,3.1608963012695312
0.01,3.1808963012695313
0.02,3.2008963012695313
0.03,3.2208963012695313
0.04,3.2408963012695313
0.05,3.2608963012695313
0.06,3.2808963012695314
0.07,3.3008963012695314
0.08,3.3208963012695314
0.09,3.340896301269531
0.1,3.3608963012695314
0.11,3.380896301269531
0.12,3.4008963012695315
0.13,3.420896301269531
0.14,3.4408963012695315
0.15,3.460896301269531
0.16,3.4808963012695315
0.17,3.500896301269531
0.18,3.520896301269531
0.19,3.540896301269531
0.2,3.560896301269531
0.21,3.580896301269531
0.22,3.600896301269531
0.23,3.620896301269531
0.24,3.6408963012695312
0.25,3.6608963012695312
0.26,3.6808963012695313
0.27,3.7008963012695313
0.28,3.7208963012695313
0.29,3.7408963012695313
0.3,3.7608963012695313
0.31,3.7808963012695314
0.32,3.8008963012695314
0.33,3.8208963012695314
0.34,3.8408963012695314
0.35000000000000003,3.8608963012695314
0.36,3.880896301269531
0.37,3.9008963012695315
0.38,3.920896301269531
0.39,3.9408963012695315
0.4,3.960896301269531
0.41000000000000003,3.9808963012695315
0.42,4.000896301269531
0.43,4.020896301269531
0.44,4.040896301269531
0.45,4.060896301269532
0.46,4.080896301269531
0.47000000000000003,4.100896301269531
0.48,4.120896301269531
0.49,4.140896301269532
0.5,4.160896301269531
0.51,4.180896301269531
0.52,4.200896301269531
0.53,4.220896301269532
0.54,4.240896301269531
0.55,4.260896301269531
0.56,4.280896301269531
0.5700000000000001,4.300896301269532
0.58,4.320896301269531
0.59,4.340896301269531
0.6,4.360896301269531
0.61,4.380896301269531
0.62,4.4008963012695315
0.63,4.420896301269531
0.64,4.4408963012695315
0.65,4.460896301269531
0.66,4.4808963012695315
0.67,4.500896301269531
0.68,4.520896301269532
0.6900000000000001,4.540896301269531
0.7000000000000001,4.560896301269532
0.71,4.580896301269531
0.72,4.600896301269531
0.73,4.620896301269531
0.74,4.640896301269532
0.75,4.660896301269531
0.76,4.680896301269531
0.77,4.700896301269531
0.78,4.720896301269532
0.79,4.740896301269531
0.8,4.760896301269531
0.81,4.780896301269531
0.8200000000000001,4.800896301269532
0.8300000000000001,4.820896301269531
0.84,4.840896301269531
0.85,4.860896301269531
0.86,4.880896301269531
0.87,4.9008963012695315
0.88,4.920896301269531
0.89,4.9408963012695315
0.9,4.960896301269531
0.91,4.9808963012695315
0.92,5.000896301269531
0.93,5.020896301269532
0.9400000000000001,5.040896301269531
0.9500000000000001,5.060896301269532
0.96,5.080896301269531
0.97,5.100896301269531
0.98,5.120896301269531
0.99,5.140896301269532
1.0,5.160896301269531
