step,timestamp,load_observed_mw,renewables_observed_mw,renewables_true_mw,reliability_w,drift_flag,inflation,proposed_charge_mw,proposed_discharge_mw,safe_charge_mw,safe_discharge_mw,intervened,intervention_reason,guarantee_passed,soc_after_mwh
1,2025-06-15T00:00:00+00:00,49.37,11.46,11.46,1.0,False,1.0,10.0,0.0,10.0,0.0,False,no_intervention,True,59.5
2,2025-06-15T01:00:00+00:00,50.52,11.86,11.86,1.0,False,1.0,10.0,0.0,10.0,0.0,False,no_intervention,True,69.0
3,2025-06-15T02:00:00+00:00,52.47,12.0,12.0,1.0,False,1.0,9.53,0.0,9.53,0.0,False,no_intervention,True,78.06
4,2025-06-15T03:00:00+00:00,56.41,8.54,11.86,0.9632,False,1.0294,2.13,0.0,2.13,0.0,False,no_intervention,True,80.09
5,2025-06-15T04:00:00+00:00,56.43,8.25,11.46,1.0,False,1.0,1.82,0.0,1.82,0.0,False,no_intervention,True,81.81
6,2025-06-15T05:00:00+00:00,57.65,7.8,10.83,1.0,False,1.0,0.14,0.0,0.14,0.0,False,no_intervention,True,81.95
7,2025-06-15T06:00:00+00:00,60.03,7.2,10.0,1.0,False,1.0,0.0,2.83,0.0,2.83,False,no_intervention,True,78.97
8,2025-06-15T07:00:00+00:00,59.94,6.51,9.04,1.0,False,1.0,0.0,3.44,0.0,3.44,False,no_intervention,True,75.35
9,2025-06-15T08:00:00+00:00,59.12,5.76,8.0,1.0,False,1.0,0.0,3.36,0.0,3.36,False,no_intervention,True,71.81
10,2025-06-15T09:00:00+00:00,59.69,5.01,6.96,1.0,True,1.6,0.0,4.68,0.0,4.68,False,no_intervention,True,66.89
11,2025-06-15T10:00:00+00:00,58.25,4.32,6.0,1.0,False,1.0,0.0,3.93,0.0,3.93,False,no_intervention,True,62.75
12,2025-06-15T11:00:00+00:00,57.27,3.72,5.17,1.0,False,1.0,0.0,3.55,0.0,3.55,False,no_intervention,True,59.02
