artifact,category,description
orius_domain_closure_matrix.csv,tabular evidence,Canonical closure matrix for Battery + AV + Healthcare.
orius_submission_scorecard.csv,readiness,Canonical readiness scorecard for the active three-domain lane.
orius_runtime_budget_matrix.csv,runtime,Runtime-budget summary for the active three-domain lane.
three_domain_ml_benchmark.csv,ml benchmark,"Canonical three-domain ML safety delta bundle for Battery, AV, and Healthcare."
three_domain_baseline_suite.csv,ml benchmark,Cross-domain baseline suite used for the promoted ML comparison lane.
three_domain_ablation_matrix.csv,ml benchmark,Cross-domain ablation matrix mapped to the promoted runtime stack.
three_domain_reliability_calibration.csv,ml calibration,Grouped calibration surface for the active three-domain lane.
novelty_separation_matrix.csv,novelty,Prior-work separation matrix for the flagship OASG/runtime-safety novelty claim.
what_orius_is_not_matrix.csv,novelty,Reviewer-safe non-claim matrix that bounds the flagship ORIUS story.
defended_theorem_core.json,theorem governance,Strict flagship/supporting/draft theorem classification for the June defense core.
defended_assumption_map.csv,theorem governance,Theorem-facing assumption map with register-resolved and theorem-local assumptions.
