scenario,controller,n_seeds,picp_90,picp_95,mean_interval_width,expected_cost_usd,intervention_rate,violation_rate,mae,rmse
nominal,deterministic_lp,5,1.000000,1.000000,803.300442,389765463.502400,0.000000,0.039286,0.000000,0.000000
nominal,robust_fixed_interval,5,1.000000,1.000000,803.300442,389688356.092307,0.000000,0.221428,0.000000,0.000000
nominal,cvar_interval,5,1.000000,1.000000,803.300442,389688356.092307,0.000000,0.221428,0.000000,0.000000
nominal,dc3s_wrapped,5,1.000000,1.000000,838.658757,389690502.773901,0.000000,0.000000,0.000000,0.000000
nominal,dc3s_ftit,5,1.000000,1.000000,305.562430,389690502.773901,0.000000,0.000000,0.000000,0.000000
dropout,deterministic_lp,5,0.927381,0.929762,803.300442,389779894.259745,0.000000,0.036905,100.745708,413.347453
dropout,robust_fixed_interval,5,0.927381,0.929762,803.300442,389688365.119179,0.000000,0.305952,100.745708,413.347453
dropout,cvar_interval,5,0.927381,0.929762,803.300442,389688365.119179,0.000000,0.305952,100.745708,413.347453
dropout,dc3s_wrapped,5,0.927381,0.930952,838.329160,389699951.545356,0.000000,0.000000,100.745708,413.347453
dropout,dc3s_ftit,5,0.936905,0.939286,1160.548053,389792642.019881,0.026191,0.000000,100.745708,413.347453
delay_jitter,deterministic_lp,5,1.000000,1.000000,803.300442,389765463.502400,0.000000,0.039286,0.000000,0.000000
delay_jitter,robust_fixed_interval,5,1.000000,1.000000,803.300442,389688356.092307,0.000000,0.221428,0.000000,0.000000
delay_jitter,cvar_interval,5,1.000000,1.000000,803.300442,389688356.092307,0.000000,0.221428,0.000000,0.000000
delay_jitter,dc3s_wrapped,5,1.000000,1.000000,838.970457,389690502.773901,0.000000,0.000000,0.000000,0.000000
delay_jitter,dc3s_ftit,5,1.000000,1.000000,305.600520,390047997.486497,0.040476,0.000000,0.000000,0.000000
out_of_order,deterministic_lp,5,1.000000,1.000000,803.300442,389765463.502400,0.000000,0.039286,0.000000,0.000000
out_of_order,robust_fixed_interval,5,1.000000,1.000000,803.300442,389688356.092307,0.000000,0.221428,0.000000,0.000000
out_of_order,cvar_interval,5,1.000000,1.000000,803.300442,389688356.092307,0.000000,0.221428,0.000000,0.000000
out_of_order,dc3s_wrapped,5,1.000000,1.000000,951.942600,389690502.773901,0.000000,0.000000,0.000000,0.000000
out_of_order,dc3s_ftit,5,1.000000,1.000000,305.569856,389811024.706920,0.026191,0.000000,0.000000,0.000000
spikes,deterministic_lp,5,0.955952,0.955952,803.300442,389767405.399736,0.000000,0.035714,716.585024,3863.556099
spikes,robust_fixed_interval,5,0.955952,0.955952,803.300442,389688356.092307,0.000000,0.221428,716.585024,3863.556099
spikes,cvar_interval,5,0.955952,0.955952,803.300442,389688356.092307,0.000000,0.221428,716.585024,3863.556099
spikes,dc3s_wrapped,5,0.955952,0.955952,882.626759,389690502.773901,0.000000,0.000000,716.585024,3863.556099
spikes,dc3s_ftit,5,0.960714,0.960714,8104.140002,389746011.939467,0.026191,0.000000,716.585024,3863.556099
drift_combo,deterministic_lp,5,0.425000,0.428571,803.300442,415512074.044858,0.000000,0.044048,3348.942439,5715.033227
drift_combo,robust_fixed_interval,5,0.425000,0.428571,803.300442,415430565.477014,0.000000,0.342857,3348.942439,5715.033227
drift_combo,cvar_interval,5,0.425000,0.428571,803.300442,415430565.477014,0.000000,0.342857,3348.942439,5715.033227
drift_combo,dc3s_wrapped,5,0.428572,0.433333,1013.499221,415445722.037681,0.000000,0.000000,3348.942439,5715.033227
drift_combo,dc3s_ftit,5,0.932143,0.946428,12840.315858,416009081.229391,0.048809,0.000000,3348.942439,5715.033227
