day,date,baseline_cost,optimized_cost,baseline_carbon,optimized_carbon,baseline_peak,optimized_peak
0,2020-06-14,17607177.0,17079978.439999998,206823744.88106543,203368356.05709344,45160.0,40160.0
1,2020-06-15,36133626.17,35591360.34221172,453949144.5045471,451626039.4493314,52360.0,48820.0
2,2020-06-16,39783411.519999996,39207846.01905482,470875319.7083074,467752710.09134907,51686.0,48394.0
3,2020-06-17,33178104.22,32641070.88125709,355659309.0417563,353139640.3075966,47055.0,44754.25425330813
4,2020-06-18,32047897.38,31616043.49342155,392832812.6356238,390342011.4062137,48992.0,46234.0
5,2020-06-19,23717904.229999997,23377262.47,281576491.3849833,278017620.30768687,44963.0,42088.0
6,2020-06-20,14385681.899999999,13964520.139999999,174987752.8824224,171016615.9029331,35416.0,32866.0
7,2020-06-21,19069115.009999998,18421091.03404537,246050513.82670313,242450429.33158273,45222.0,40222.0
8,2020-06-22,28657183.970000003,28189463.966030248,333516074.26909673,329788212.4200674,48043.0,44263.0
9,2020-06-23,31902650.35,31362510.94130435,346991184.5255683,343293562.01530695,50496.0,45496.0
10,2020-06-24,30390738.32,29824935.472173914,296140237.5970361,293416821.1552122,45022.0,40022.0
11,2020-06-25,28629277.5,28119250.48,284856657.1108656,282133014.93944085,43208.0,38208.0
12,2020-06-26,27059219.189999998,26670817.189999998,283617422.9262058,279511748.44221807,42487.0,39544.0
13,2020-06-27,13815178.1,13423649.27504726,168029600.35262555,163926053.59242463,38054.0,33054.0
14,2020-06-28,16736353.170000002,15778044.088260869,195827077.57247633,192055018.81012473,42694.0,37694.0
15,2020-06-29,17568625.580000002,17007903.392173916,159241866.96511227,156350379.36343324,38449.0,33449.0
16,2020-06-30,17188671.78,16421015.541814744,177008169.51670045,173796925.12024194,41980.0,36980.0
17,2020-07-01,30256030.630000003,29626931.289130438,273572529.4442544,271551636.73613185,45792.0,40792.0
18,2020-07-02,39592250.900000006,38998531.74385633,348945163.3971801,346066615.87502086,49122.0,45877.0
19,2020-07-03,17742873.55,17323174.65,152953650.65486395,149652608.96313068,38073.0,33073.0
20,2020-07-04,2976311.8899999997,2165206.996124764,36381203.80151165,37733072.718379796,21280.0,17607.0
21,2020-07-05,2794080.44,820374.9840375654,53007153.19962978,51545343.86632934,23026.0,20352.0
22,2020-07-06,15457185.59,14779995.79793951,146658169.36569005,142971357.4605202,40713.0,35713.0
23,2020-07-07,30305365.120000005,29747967.45020794,286664825.1115215,283085384.19106144,48466.0,43846.0
24,2020-07-08,46687502.92999999,46064178.06826086,444562886.49102014,441792540.64401174,52165.0,48038.5
25,2020-07-09,38810143.2,38406011.88086957,341413354.6585407,337270498.18421656,47909.0,44045.0
26,2020-07-10,22803627.36,22419050.9710586,211287107.87163785,207245573.43489677,37501.0,32501.0
27,2020-07-11,18668747.45,18277424.110869564,216308812.9219597,211757467.55279568,38823.0,36619.0
28,2020-07-12,21285133.480000004,20690408.92120983,251410272.32885376,247341332.72451782,45771.0,40771.0
29,2020-07-13,33777351.11,33287369.242173914,364641312.45922756,360258298.65143913,51510.0,46510.0
