rank,feature,mean_abs_shap
1,load_mw_lag_1,7061.892452
2,load_mw_delta_1h,1563.168295
3,load_mw_lag_24,500.259222
4,load_mw_lag_168,359.89089
5,load_mw_delta_24h,274.823822
6,hour,102.490044
7,load_mw_roll_mean_24,47.454675
8,dayofweek,42.315672
9,solar_mw_lag_168,22.243676
10,wx_relative_humidity_2m_lag_168,18.879451
11,solar_mw_lag_1,10.565541
12,solar_mw_lag_24,7.843633
13,solar_mw_delta_1h,7.7538
14,wx_temperature_2m_lag_168,5.061151
15,load_mw_roll_std_24,4.217092
16,wx_wind_speed_10m_roll_mean_24,3.794984
17,wind_mw_roll_std_24,3.77558
18,wind_mw_lag_168,3.667992
19,price_eur_mwh_roll_std_24,3.507392
20,wx_wind_speed_10m_lag_24,3.228617
21,wind_mw_roll_mean_24,3.208436
22,load_mw_roll_std_168,3.200842
23,price_eur_mwh_lag_24,3.184079
24,wx_cloud_cover_roll_std_168,3.040808
25,wx_temperature_2m,2.918311
26,wx_relative_humidity_2m,2.735236
27,solar_mw_delta_24h,2.656844
28,wind_mw_delta_24h,2.628627
29,wx_wind_speed_10m_roll_std_24,2.57805
30,wx_cloud_cover_roll_mean_24,2.557836
31,wind_mw_delta_1h,2.541461
32,wx_wind_speed_10m_lag_168,2.480058
33,solar_mw_roll_mean_24,2.436055
34,wx_relative_humidity_2m_lag_24,2.407094
35,wx_temperature_2m_roll_std_24,2.183055
36,solar_mw_roll_std_24,2.121713
37,wx_cloud_cover_lag_168,2.110642
38,wx_relative_humidity_2m_lag_1,2.090884
39,wx_wind_speed_10m_roll_std_168,2.081868
40,wind_mw_roll_std_168,2.071679
41,wx_temperature_2m_roll_std_168,2.061924
42,carbon_kg_per_mwh_lag_168,2.061288
43,wx_cloud_cover_lag_1,2.060689
44,wx_relative_humidity_2m_roll_std_24,2.052418
45,wx_cloud_cover_roll_std_24,1.967526
46,wx_wind_speed_10m,1.952997
47,wx_wind_speed_10m_lag_1,1.85998
48,carbon_kg_per_mwh_lag_1,1.850789
49,wx_precipitation_roll_std_168,1.801126
50,price_eur_mwh_lag_1,1.793511
51,carbon_kg_per_mwh_roll_mean_168,1.79032
52,wx_temperature_2m_lag_24,1.708488
53,wx_cloud_cover_lag_24,1.667211
54,price_eur_mwh_lag_168,1.651132
55,wx_relative_humidity_2m_roll_mean_24,1.629396
56,wind_mw_lag_1,1.613282
57,carbon_kg_per_mwh_roll_std_168,1.546427
58,wind_mw_lag_24,1.518912
59,price_eur_mwh_roll_mean_168,1.515438
60,wx_temperature_2m_roll_mean_24,1.432138
61,price_eur_mwh_roll_std_168,1.376971
62,carbon_kg_per_mwh_lag_24,1.345678
63,wx_relative_humidity_2m_roll_mean_168,1.321265
64,price_eur_mwh_roll_mean_24,1.298185
65,wx_precipitation_roll_mean_168,1.266028
66,wx_cloud_cover_roll_mean_168,1.257985
67,wx_cloud_cover,1.226244
68,carbon_kg_per_mwh,1.225888
69,solar_mw_roll_mean_168,1.180216
70,load_mw_roll_mean_168,1.153118
71,wx_temperature_2m_lag_1,1.13677
72,wx_relative_humidity_2m_roll_std_168,1.117929
73,carbon_kg_per_mwh_roll_std_24,1.061947
74,wx_temperature_2m_roll_mean_168,1.054843
75,carbon_kg_per_mwh_roll_mean_24,1.019061
76,wind_mw_roll_mean_168,1.012396
77,wx_precipitation_roll_std_24,0.906411
78,solar_mw_roll_std_168,0.869153
79,wx_precipitation_roll_mean_24,0.86573
80,wx_wind_speed_10m_roll_mean_168,0.844624
81,wx_precipitation,0.749378
82,wx_precipitation_lag_1,0.526167
83,wx_precipitation_lag_24,0.414474
84,month,0.291843
85,season,0.284116
86,wx_precipitation_lag_168,0.24328
87,is_daylight,0.14478
88,is_morning_peak,0.091378
89,is_evening_peak,0.039275
90,is_holiday,0.0
91,is_weekend,0.0
92,is_pre_holiday,0.0
93,is_post_holiday,0.0
